DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2013,1.7,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2014,2.2,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2015,2.2,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2016,3.9,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2017,3.3,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2018,3.7,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2019,2.1,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2020,-3.3,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2021,9.0,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2022,4.8,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2023,3.9,p,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Albania,2024,4.0,e,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2013,-0.3,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2014,0.8,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2015,1.3,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2016,2.1,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2017,2.3,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2018,2.5,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2019,1.8,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2020,-6.3,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2021,4.8,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2022,5.3,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2023,-1.0,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Austria,2024,-1.2,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bosnia and Herzegovina,2013,2.3,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bosnia and Herzegovina,2014,1.2,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bosnia and Herzegovina,2015,4.3,b,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bosnia and Herzegovina,2016,3.2,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bosnia and Herzegovina,2017,3.2,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bosnia and Herzegovina,2018,3.8,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bosnia and Herzegovina,2019,2.9,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bosnia and Herzegovina,2020,-3.0,,
ESTAT:TEC00115(1.0),03/06/25 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Bosnia and Herzegovina,2021,7.4,,
